Rf_i;Rf_j;Lbl_p;Lbl_q;Wordnet wup equivalence indicator;Equivalence estimate
Rf02;Rf07;Mission;Event;0,363636364;Low
Rf02;Rf07;Mission;Condition;0,333333333;Low
Rf02;Rf07;Mission;Task;0,266666667;Low
Rf02;Rf07;Mission;CS;0,266666667;Low
Rf02;Rf07;Mission;Emergent;0,2;Low
Rf02;Rf13;Mission;Resource;0,307692308;Low
Rf02;Rf13;Mission;Capability;0,307692308;Low
Rf02;Rf05;Mission;Environment;0,307692308;Low
Rf02;Rf05;Mission;Actor;0,142857143;Low
Rf02;Rf05;Mission;Communication;0,307692308;Low
Rf02;Rf06;Mission;Operation;0,307692308;Low
